Student id,Batch
fa3_050,FT-AD-3
fa3_087,FT-AD-3
fa3_047,FT-AD-3
fa3_064,FT-AD-3
fa3_045,FT-AD-3
fa3_073,FT-AD-3
fa3_085,FT-AD-3
fa3_075,FT-AD-3
fa3_137,FT-AD-3
fa3_083,FT-AD-3
fa3_070,FT-AD-3
fa3_082,FT-AD-3
fa3_048,FT-AD-3
fa3_133,FT-AD-3
fa3_060,FT-AD-3
fa3_084,FT-AD-3
fa3_063,FT-AD-3
fa3_068,FT-AD-3
fa3_074,FT-AD-3
fa3_081,FT-AD-3
fa3_066,FT-AD-3
sp2_038,FT-AD-3
sp2_068,FT-AD-3
fa3_030,FT-AD-3
fa3_035,FT-AD-3
fa3_010,FT-AD-3
fa3_007,FT-AD-3
fa3_038,FT-AD-3
fa3_016,FT-AD-3
fa3_036,FT-AD-3
fa3_034,FT-AD-3
fa3_033,FT-AD-3
fa3_009,FT-AD-3
fa3_043,FT-AD-3
fa3_041,FT-AD-3
fa3_004,FT-AD-3
fa3_022,FT-AD-3
fa3_008,FT-AD-3
fa3_040,FT-AD-3
fa3_011,FT-AD-3
fa3_025,FT-AD-3
fa3_023,FT-AD-3
fa3_006,FT-AD-3
fa3_028,FT-AD-3
fa3_001,FT-AD-3
fa3_002,FT-AD-3
fa3_029,FT-AD-3
fa3_015,FT-AD-3
fa3_032,FT-AD-3
fa3_037,FT-AD-3
fa3_026,FT-AD-3
fa3_003,FT-AD-3
fa3_014,FT-AD-3
fa3_039,FT-AD-3
fa3_042,FT-AD-3
fa3_031,FT-AD-3
fa3_005,FT-AD-3
sp2_091,FT-AD-3
